name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	15	12	0.0
Azorhizobium	6	genus	5369772	3	0	0.0
Azorhizobium caulinodans	7	species	5369772	5	0	0.0
Buchnera aphidicola	9	species	602805	2	0	0.0
Cellvibrio	10	genus	4576573	1	0	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Phenylobacterium	20	genus	4379231	1	0	0.0
Shewanella	22	genus	5140018	9	4	0.0
Shewanella putrefaciens	24	species	4749735	36	9	0.0
Myxococcales	29	order	9638245	39	0	0.0
Myxococcaceae	31	family	9636120	4	0	0.0
Myxococcus	32	genus	9487953	13	0	0.0
Myxococcus xanthus	34	species	9139763	267	34	0.0
Myxococcus macrosporus	35	species	8973512	110	38	0.0
Archangiaceae	39	family	10085598	14	0	0.0
Cystobacter fuscus	43	species	12349744	153	97	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	216	143	0.0
Polyangiaceae	49	family	13907952	2	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	132	88	0.0
Sorangium cellulosum	56	species	13907952	583	289	0.0
Vitreoscilla	59	genus	0	1	0	0.0
Vitreoscilla filiformis	63	species	3787551	68	48	0.0
Lysobacter	68	genus	0	8	0	0.0
Lysobacter enzymogenes	69	species	12227539	200	124	0.0
Caulobacter	75	genus	4238499	9	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Stella	93	genus	0	2	0	0.0
Stella humosa	94	species	5832650	137	69	0.0
Ancylobacter	99	genus	0	1	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	4	0	0.0
Planctomycetales	112	order	5733343	5	0	0.0
Gemmata	113	genus	0	2	0	0.0
Gemmata obscuriglobus	114	species	17998094	162	91	0.0
Planctomyces	118	genus	0	2	0	0.0
Planctopirus limnophila	120	species	5460085	1	0	0.0
Gimesia maris	122	species	15634937	45	13	0.0
Planctomycetaceae	126	family	5733343	3	0	0.0
Methylocystis	133	genus	0	4	0	0.0
Methylocystis parvus	134	species	4529043	73	36	0.0
Spirochaetales	136	order	1876294	4	0	0.0
Spirochaetaceae	137	family	2749897	5	0	0.0
Borrelia	138	genus	1176628	1	0	0.0
Borreliella burgdorferi	139	species	1329613	7	1	0.0
Borrelia turicatae	142	species	1165365	5	0	0.0
Borrelia anserina	143	species	1042690	1	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema	157	genus	2490077	13	2	0.0
Brachyspira hyodysenteriae	159	species	3055339	24	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	1	0	0.0
Treponema phagedenis	162	species	17151030	269	70	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospiraceae	170	family	5274184	1	0	0.0
Leptospira	171	genus	5319704	7	0	0.0
Leptospira interrogans	173	species	6128534	25	10	0.0
Leptospira borgpetersenii	174	species	4736323	6	1	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	3	0	0.0
Aquaspirillum	187	genus	0	2	0	0.0
Azospirillum	191	genus	7223069	21	4	0.0
Azospirillum brasilense	192	species	50779208	597	123	0.0
Azospirillum lipoferum	193	species	7223069	8	0	0.0
Campylobacter	194	genus	2403822	9	8	0.0
Campylobacter coli	195	species	1776238	36	8	0.0
Campylobacter fetus	196	species	2065164	30	23	0.0
Campylobacter jejuni	197	species	3124996	59	14	0.0
Campylobacter hyointestinalis	198	species	1755214	16	0	0.0
Campylobacter concisus	199	species	2099413	178	123	0.0
Campylobacter curvus	200	species	1971270	94	0	0.0
Campylobacter lari	201	species	1565468	25	6	0.0
Campylobacter showae	204	species	2160580	4686	4608	0.0
Campylobacter sputorum	206	species	1746988	22	6	0.0
Helicobacter	209	genus	1715890	1	0	0.0
Helicobacter pylori	210	species	1700965	67	30	0.0
Helicobacter cinaedi	213	species	2170766	7	7	0.0
Helicobacter mustelae	217	species	1578097	15	0	0.0
Achromobacter	222	genus	7359146	19	0	0.0
Alteromonas	226	genus	4609878	7	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	1	0	0.0
Brucella	234	genus	4039663	28	21	0.0
Flavobacterium	237	genus	3461015	4	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	34	12	0.0
Chryseobacterium balustinum	246	species	4974086	10	4	0.0
Empedobacter brevis	247	species	7431270	38	9	0.0
Chryseobacterium gleum	250	species	9292597	13	4	0.0
Chryseobacterium indologenes	253	species	35240523	95	9	0.0
Chryseobacterium indoltheticum	254	species	8445673	28	19	0.0
Sphingobacterium thalpophilum	259	species	5962893	17	12	0.0
Francisella	262	genus	3767258	2	0	0.0
Francisella tularensis	263	species	3018743	13	2	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	8	1	0.0
Paracoccus	265	genus	5054656	15	2	0.0
Paracoccus denitrificans	266	species	5236194	61	0	0.0
Thermus	270	genus	2279019	5	1	0.0
Thermus thermophilus	274	species	2214494	135	23	0.0
Xanthobacter	279	genus	5625098	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas	283	genus	5461687	4	0	0.0
Comamonas testosteroni	285	species	5856025	44	24	0.0
Pseudomonas	286	genus	9017316	329	116	0.0
Pseudomonas aeruginosa	287	species	6798896	547	85	0.0
Pseudoalteromonas atlantica	288	species	5187005	4	2	0.0
Burkholderia cepacia	292	species	13565292	337	45	0.0
Brevundimonas diminuta	293	species	3551819	37	15	0.0
Pseudomonas fluorescens	294	species	6604895	369	105	0.0
Pseudomonas fragi	296	species	10253943	43	12	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	19	16	0.0
Pseudomonas mendocina	300	species	5293211	170	63	0.0
Pseudomonas oleovorans	301	species	4686340	45	5	0.0
Pseudomonas putida	303	species	6160317	492	142	0.0
Ralstonia solanacearum	305	species	5757294	498	105	0.0
Pseudomonas stutzeri	316	species	4548207	315	97	0.0
Pseudomonas syringae	317	species	8747300	100	24	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	15	2	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	17	1	0.0
Ralstonia pickettii	329	species	5505543	82	26	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	19	1	0.0
Burkholderia glumae	337	species	6878727	135	14	0.0
Xanthomonas	338	genus	23419814	69	20	0.0
Xanthomonas campestris	339	species	7099366	29	24	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	19	0	0.0
Xanthomonas translucens	343	species	11701367	15	0	0.0
Xanthomonas citri	346	species	27676482	88	34	0.0
Xanthomonas oryzae	347	species	63225372	87	31	0.0
Azotobacter	352	genus	5311796	4	0	0.0
Azotobacter chroococcum	353	species	5192286	52	14	0.0
Azotobacter vinelandii	354	species	5351632	16	0	0.0
Rhizobiales	356	order	5410296	128	1	0.0
Agrobacterium	357	genus	6422834	7	0	0.0
Agrobacterium tumefaciens	358	species	7273300	279	40	0.0
Agrobacterium rhizogenes	359	species	5482241	35	11	0.0
Agrobacterium vitis	373	species	6320946	2	0	0.0
Bradyrhizobium	374	genus	11894480	133	39	0.0
Bradyrhizobium japonicum	375	species	9207384	233	44	0.0
Bradyrhizobium sp.	376	species	7547693	81	32	0.0
Rhizobium	379	genus	8184003	121	33	0.0
Sinorhizobium fredii	380	species	6924988	60	6	0.0
Sinorhizobium meliloti	382	species	7082772	146	53	0.0
Rhizobium leguminosarum	384	species	9364981	208	44	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	95	18	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	69	21	0.0
Rhizobium phaseoli	396	species	6665454	115	10	0.0
