name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	2	1	0.0
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Buchnera aphidicola	9	species	602805	1	1	0.0
Cellvibrio	10	genus	4576573	1	0	0.0
Shewanella	22	genus	5140018	4	0	0.0
Shewanella putrefaciens	24	species	4749735	13	5	0.0
Myxococcales	29	order	9638245	13	0	0.0
Myxococcaceae	31	family	9636120	4	0	0.0
Myxococcus	32	genus	9487953	3	0	0.0
Myxococcus xanthus	34	species	9139763	49	11	0.0
Myxococcus macrosporus	35	species	8973512	44	13	0.0
Archangiaceae	39	family	10085598	3	0	0.0
Cystobacter fuscus	43	species	12349744	25	19	0.0
Archangium gephyra	48	species	12489432	33	22	0.0
Chondromyces crocatus	52	species	11388132	33	20	0.0
Sorangium cellulosum	56	species	13907952	132	50	0.0
Vitreoscilla	59	genus	0	2	0	0.0
Vitreoscilla filiformis	63	species	3787551	22	12	0.0
Lysobacter	68	genus	0	7	0	0.0
Lysobacter enzymogenes	69	species	12227539	42	24	0.0
Simonsiella muelleri	72	species	2469862	2	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Stella humosa	94	species	5832650	37	24	0.0
Planctomycetales	112	order	5733343	3	0	0.0
Gemmata obscuriglobus	114	species	17998094	31	21	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Gimesia maris	122	species	15634937	12	4	0.0
Planctomycetaceae	126	family	5733343	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Methylocystis parvus	134	species	4529043	11	8	0.0
Spirochaetales	136	order	1876294	1	0	0.0
Spirochaetaceae	137	family	2749897	2	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia turicatae	142	species	1165365	1	0	0.0
Treponema	157	genus	2490077	4	2	0.0
Brachyspira hyodysenteriae	159	species	3055339	9	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	2	0	0.0
Treponema phagedenis	162	species	17151030	91	27	0.0
Leptospira interrogans	173	species	6128534	11	4	0.0
Aquaspirillum	187	genus	0	1	0	0.0
Azospirillum	191	genus	7223069	1	0	0.0
Azospirillum brasilense	192	species	50779208	187	24	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Campylobacter	194	genus	2403822	2	2	0.0
Campylobacter coli	195	species	1776238	11	5	0.0
Campylobacter fetus	196	species	2065164	2	2	0.0
Campylobacter jejuni	197	species	3124996	15	6	0.0
Campylobacter hyointestinalis	198	species	1755214	3	0	0.0
Campylobacter concisus	199	species	2099413	58	39	0.0
Campylobacter curvus	200	species	1971270	17	0	0.0
Campylobacter lari	201	species	1565468	3	1	0.0
Campylobacter showae	204	species	2160580	1140	1113	0.0
Campylobacter sputorum	206	species	1746988	2	0	0.0
Helicobacter	209	genus	1715890	1	0	0.0
Helicobacter pylori	210	species	1700965	14	8	0.0
Helicobacter cinaedi	213	species	2170766	6	2	0.0
Helicobacter mustelae	217	species	1578097	8	0	0.0
Achromobacter	222	genus	7359146	9	1	0.0
Alteromonas	226	genus	4609878	2	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	3	1	0.0
Brucella	234	genus	4039663	8	6	0.0
Brucella abortus	235	species	3283421	2	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	23	6	0.0
Chryseobacterium balustinum	246	species	4974086	12	7	0.0
Empedobacter brevis	247	species	7431270	13	0	0.0
Chryseobacterium gleum	250	species	9292597	13	5	0.0
Chryseobacterium indologenes	253	species	35240523	14	5	0.0
Chryseobacterium indoltheticum	254	species	8445673	13	7	0.0
Sphingobacterium thalpophilum	259	species	5962893	8	6	0.0
Francisella	262	genus	3767258	1	0	0.0
Francisella tularensis	263	species	3018743	5	3	0.0
Paracoccus	265	genus	5054656	3	0	0.0
Paracoccus denitrificans	266	species	5236194	27	0	0.0
Thermus	270	genus	2279019	5	1	0.0
Thermus thermophilus	274	species	2214494	42	4	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Comamonas	283	genus	5461687	6	0	0.0
Comamonas testosteroni	285	species	5856025	18	6	0.0
Pseudomonas	286	genus	9017316	100	30	0.0
Pseudomonas aeruginosa	287	species	6798896	183	43	0.0
Pseudoalteromonas atlantica	288	species	5187005	3	1	0.0
Burkholderia cepacia	292	species	13565292	70	11	0.0
Brevundimonas diminuta	293	species	3551819	11	6	0.0
Pseudomonas fluorescens	294	species	6604895	110	36	0.0
Pseudomonas fragi	296	species	10253943	14	4	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	6	3	0.0
Pseudomonas mendocina	300	species	5293211	44	12	0.0
Pseudomonas oleovorans	301	species	4686340	29	5	0.0
Pseudomonas putida	303	species	6160317	124	43	0.0
Ralstonia solanacearum	305	species	5757294	165	41	0.0
Pseudomonas stutzeri	316	species	4548207	113	42	0.0
Pseudomonas syringae	317	species	8747300	15	2	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	6	1	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	12	0	0.0
Ralstonia pickettii	329	species	5505543	22	7	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	4	1	0.0
Burkholderia glumae	337	species	6878727	25	1	0.0
Xanthomonas	338	genus	23419814	15	0	0.0
Xanthomonas campestris	339	species	7099366	4	2	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	3	0	0.0
Xanthomonas translucens	343	species	11701367	4	0	0.0
