name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	11	9	0.0
Azorhizobium	6	genus	5369772	2	0	0.0
Azorhizobium caulinodans	7	species	5369772	5	0	0.0
Buchnera aphidicola	9	species	602805	10	1	0.0
Cellvibrio	10	genus	4576573	4	0	0.0
Pelobacter	18	genus	3953506	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	2	0	0.0
Phenylobacterium	20	genus	4379231	2	0	0.0
Shewanella	22	genus	5140018	15	4	0.0
Shewanella putrefaciens	24	species	4749735	24	6	0.0
Myxococcales	29	order	9638245	49	0	0.0
Myxococcaceae	31	family	9636120	5	0	0.0
Myxococcus	32	genus	9487953	7	0	0.0
Myxococcus xanthus	34	species	9139763	278	47	0.0
Myxococcus macrosporus	35	species	8973512	159	51	0.0
Archangiaceae	39	family	10085598	13	0	0.0
Stigmatella aurantiaca	41	species	10260756	3	0	0.0
Cystobacter	42	genus	0	2	0	0.0
Cystobacter fuscus	43	species	12349744	176	109	0.0
Melittangium	44	genus	9910441	1	0	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	215	136	0.0
Polyangiaceae	49	family	13907952	4	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	149	105	0.0
Sorangium cellulosum	56	species	13907952	684	303	0.0
Vitreoscilla	59	genus	0	4	0	0.0
Vitreoscilla filiformis	63	species	3787551	59	38	0.0
Lysobacter	68	genus	0	14	0	0.0
Lysobacter enzymogenes	69	species	12227539	250	144	0.0
Simonsiella muelleri	72	species	2469862	3	0	0.0
Caulobacter	75	genus	4238499	13	0	0.0
Hyphomicrobium	81	genus	3700497	5	0	0.0
Leptothrix	88	genus	4909403	3	0	0.0
Stella	93	genus	0	4	0	0.0
Stella humosa	94	species	5832650	166	116	0.0
Cyclobacterium marinum	104	species	6221273	2	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	2	0	0.0
Planctomycetales	112	order	5733343	5	0	0.0
Gemmata obscuriglobus	114	species	17998094	188	122	0.0
Planctomyces	118	genus	0	2	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Gimesia maris	122	species	15634937	35	16	0.0
Pirellula	123	genus	6196199	1	0	0.0
Planctomycetaceae	126	family	5733343	2	0	0.0
Methylocystis	133	genus	0	7	0	0.0
Methylocystis parvus	134	species	4529043	61	42	0.0
Spirochaetales	136	order	1876294	8	0	0.0
Spirochaetaceae	137	family	2749897	4	1	0.0
Borreliella burgdorferi	139	species	1329613	3	0	0.0
Borrelia turicatae	142	species	1165365	9	0	0.0
Borrelia anserina	143	species	1042690	1	0	0.0
Spirochaeta	146	genus	2772907	1	0	0.0
Spirochaeta thermophila	154	species	2516433	4	0	0.0
Treponema	157	genus	2490077	8	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	16	0	0.0
Treponema pallidum	160	species	1139017	2	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	9	0	0.0
Treponema phagedenis	162	species	17151030	579	82	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospira	171	genus	5319704	8	0	0.0
Leptospira interrogans	173	species	6128534	16	8	0.0
Leptospira borgpetersenii	174	species	4736323	3	0	0.0
Azospirillum	191	genus	7223069	38	0	0.0
Azospirillum brasilense	192	species	50779208	834	147	0.0
Azospirillum lipoferum	193	species	7223069	9	0	0.0
Campylobacter	194	genus	2403822	8	5	0.0
Campylobacter coli	195	species	1776238	29	13	0.0
Campylobacter fetus	196	species	2065164	27	16	0.0
Campylobacter jejuni	197	species	3124996	44	12	0.0
Campylobacter hyointestinalis	198	species	1755214	26	0	0.0
Campylobacter concisus	199	species	2099413	312	197	0.0
Campylobacter curvus	200	species	1971270	179	0	0.0
Campylobacter lari	201	species	1565468	27	5	0.0
Campylobacter showae	204	species	2160580	7796	7671	0.0
Campylobacter sputorum	206	species	1746988	18	4	0.0
Helicobacter	209	genus	1715890	1	0	0.0
Helicobacter pylori	210	species	1700965	81	28	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	27	4	0.0
Helicobacter mustelae	217	species	1578097	10	0	0.0
Achromobacter	222	genus	7359146	23	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	4	2	0.0
Brucella	234	genus	4039663	26	12	0.0
Flavobacterium	237	genus	3461015	3	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	41	9	0.0
Chryseobacterium balustinum	246	species	4974086	16	7	0.0
Empedobacter brevis	247	species	7431270	43	4	0.0
Chryseobacterium gleum	250	species	9292597	26	19	0.0
Chryseobacterium indologenes	253	species	35240523	66	14	0.0
Chryseobacterium indoltheticum	254	species	8445673	30	14	0.0
Sphingobacterium thalpophilum	259	species	5962893	29	23	0.0
Francisella	262	genus	3767258	1	0	0.0
Francisella tularensis	263	species	3018743	27	16	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	6	0	0.0
Paracoccus	265	genus	5054656	11	0	0.0
Paracoccus denitrificans	266	species	5236194	74	0	0.0
Thermus	270	genus	2279019	11	2	0.0
Thermus aquaticus	271	species	2338641	2	0	0.0
Thermus thermophilus	274	species	2214494	157	29	0.0
Xanthobacter	279	genus	5625098	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas	283	genus	5461687	14	0	0.0
Comamonas testosteroni	285	species	5856025	61	29	0.0
Pseudomonas	286	genus	9017316	364	119	0.0
Pseudomonas aeruginosa	287	species	6798896	892	347	0.0
Pseudoalteromonas atlantica	288	species	5187005	7	0	0.0
Burkholderia cepacia	292	species	13565292	292	46	0.0
Brevundimonas diminuta	293	species	3551819	55	20	0.0
Pseudomonas fluorescens	294	species	6604895	459	128	0.0
Pseudomonas fragi	296	species	10253943	31	6	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	15	8	0.0
Pseudomonas mendocina	300	species	5293211	167	61	0.0
Pseudomonas oleovorans	301	species	4686340	65	3	0.0
Pseudomonas putida	303	species	6160317	399	118	0.0
Ralstonia solanacearum	305	species	5757294	539	132	0.0
Pseudomonas stutzeri	316	species	4548207	364	105	0.0
Pseudomonas syringae	317	species	8747300	91	13	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	18	8	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	26	3	0.0
Ralstonia pickettii	329	species	5505543	88	33	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	20	8	0.0
Burkholderia glumae	337	species	6878727	154	15	0.0
Xanthomonas	338	genus	23419814	72	11	0.0
Xanthomonas campestris	339	species	7099366	43	14	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	22	1	0.0
Xanthomonas translucens	343	species	11701367	18	0	0.0
Xanthomonas citri	346	species	27676482	114	24	0.0
Xanthomonas oryzae	347	species	63225372	105	29	0.0
Azotobacter	352	genus	5311796	7	0	0.0
Azotobacter chroococcum	353	species	5192286	77	18	0.0
Azotobacter vinelandii	354	species	5351632	23	0	0.0
Rhizobiales	356	order	5410296	153	1	0.0
Agrobacterium	357	genus	6422834	11	0	0.0
Agrobacterium tumefaciens	358	species	7273300	378	43	0.0
Agrobacterium rhizogenes	359	species	5482241	37	24	0.0
