name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	5	4	0.0
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	602805	2	0	0.0
Cellulomonas gilvus	11	species	3526441	2	0	0.0
Pelobacter	18	genus	3953506	3	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Phenylobacterium	20	genus	4379231	1	0	0.0
Shewanella	22	genus	5140018	1	0	0.0
Shewanella putrefaciens	24	species	4749735	8	3	0.0
Myxococcales	29	order	9638245	12	0	0.0
Myxococcus	32	genus	9487953	1	0	0.0
Myxococcus xanthus	34	species	9139763	82	11	0.0
Myxococcus macrosporus	35	species	8973512	33	14	0.0
Archangiaceae	39	family	10085598	1	0	0.0
Cystobacter fuscus	43	species	12349744	44	33	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	37	22	0.0
Chondromyces crocatus	52	species	11388132	36	28	0.0
Sorangium cellulosum	56	species	13907952	128	68	0.0
Vitreoscilla	59	genus	0	2	0	0.0
Vitreoscilla filiformis	63	species	3787551	24	13	0.0
Lysobacter	68	genus	0	5	0	0.0
Lysobacter enzymogenes	69	species	12227539	50	24	0.0
Simonsiella muelleri	72	species	2469862	2	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Stella humosa	94	species	5832650	26	17	0.0
Ancylobacter	99	genus	0	2	0	0.0
Runella	105	genus	0	3	0	0.0
Planctomycetales	112	order	5733343	1	0	0.0
Gemmata	113	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	27	19	0.0
Gimesia maris	122	species	15634937	10	4	0.0
Planctomycetaceae	126	family	5733343	1	0	0.0
Methylocystis parvus	134	species	4529043	13	7	0.0
Spirochaetales	136	order	1876294	6	0	0.0
Spirochaetaceae	137	family	2749897	1	0	0.0
Borreliella burgdorferi	139	species	1329613	3	1	0.0
Borrelia turicatae	142	species	1165365	3	0	0.0
Treponema	157	genus	2490077	3	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	9	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	2	0	0.0
Treponema phagedenis	162	species	17151030	95	8	0.0
Leptospira	171	genus	5319704	1	0	0.0
Leptospira interrogans	173	species	6128534	4	3	0.0
Aquaspirillum	187	genus	0	1	0	0.0
Azospirillum	191	genus	7223069	4	0	0.0
Azospirillum brasilense	192	species	50779208	179	46	0.0
Campylobacter	194	genus	2403822	3	2	0.0
Campylobacter coli	195	species	1776238	15	6	0.0
Campylobacter fetus	196	species	2065164	6	3	0.0
Campylobacter jejuni	197	species	3124996	20	6	0.0
Campylobacter hyointestinalis	198	species	1755214	6	0	0.0
Campylobacter concisus	199	species	2099413	82	48	0.0
Campylobacter curvus	200	species	1971270	36	0	0.0
Campylobacter lari	201	species	1565468	4	2	0.0
Campylobacter showae	204	species	2160580	1541	1497	0.0
Campylobacter sputorum	206	species	1746988	4	2	0.0
Helicobacter	209	genus	1715890	1	0	0.0
Helicobacter pylori	210	species	1700965	11	8	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Helicobacter mustelae	217	species	1578097	3	0	0.0
Achromobacter	222	genus	7359146	9	0	0.0
Alteromonas	226	genus	4609878	2	0	0.0
Brucella	234	genus	4039663	11	6	0.0
Flavobacterium	237	genus	3461015	1	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	24	6	0.0
Chryseobacterium balustinum	246	species	4974086	6	4	0.0
Empedobacter brevis	247	species	7431270	12	2	0.0
Chryseobacterium gleum	250	species	9292597	14	7	0.0
Chryseobacterium indologenes	253	species	35240523	32	4	0.0
Chryseobacterium indoltheticum	254	species	8445673	9	8	0.0
Sphingobacterium thalpophilum	259	species	5962893	8	4	0.0
Francisella tularensis	263	species	3018743	6	3	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	1	0	0.0
Paracoccus	265	genus	5054656	3	0	0.0
Paracoccus denitrificans	266	species	5236194	12	0	0.0
Thermus	270	genus	2279019	2	0	0.0
Thermus thermophilus	274	species	2214494	26	8	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas	283	genus	5461687	4	0	0.0
Comamonas testosteroni	285	species	5856025	19	11	0.0
Pseudomonas	286	genus	9017316	103	34	0.0
Pseudomonas aeruginosa	287	species	6798896	218	35	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13565292	65	13	0.0
Brevundimonas diminuta	293	species	3551819	10	7	0.0
Pseudomonas fluorescens	294	species	6604895	117	32	0.0
Pseudomonas fragi	296	species	10253943	11	5	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	8	4	0.0
Pseudomonas mendocina	300	species	5293211	47	18	0.0
Pseudomonas oleovorans	301	species	4686340	25	1	0.0
Pseudomonas putida	303	species	6160317	163	44	0.0
Ralstonia solanacearum	305	species	5757294	144	28	0.0
Pseudomonas stutzeri	316	species	4548207	105	41	0.0
Pseudomonas syringae	317	species	8747300	24	4	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	4	2	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	6	0	0.0
Ralstonia pickettii	329	species	5505543	27	9	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	1	0	0.0
Burkholderia glumae	337	species	6878727	45	4	0.0
Xanthomonas	338	genus	23419814	9	4	0.0
Xanthomonas campestris	339	species	7099366	11	7	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	7	1	0.0
Xanthomonas translucens	343	species	11701367	6	0	0.0
Xanthomonas citri	346	species	27676482	27	9	0.0
Xanthomonas oryzae	347	species	63225372	34	12	0.0
Azotobacter chroococcum	353	species	5192286	16	3	0.0
Azotobacter vinelandii	354	species	5351632	6	0	0.0
Rhizobiales	356	order	5410296	27	0	0.0
Agrobacterium	357	genus	6422834	2	0	0.0
Agrobacterium tumefaciens	358	species	7273300	86	10	0.0
Agrobacterium rhizogenes	359	species	5482241	9	4	0.0
Bradyrhizobium	374	genus	11894480	17	4	0.0
Bradyrhizobium japonicum	375	species	9207384	23	1	0.0
Bradyrhizobium sp.	376	species	7547693	10	8	0.0
Rhizobium	379	genus	8184003	26	9	0.0
Sinorhizobium fredii	380	species	6924988	10	4	0.0
Sinorhizobium meliloti	382	species	7082772	46	17	0.0
Rhizobium leguminosarum	384	species	9364981	54	18	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	33	3	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	16	8	0.0
Rhizobium phaseoli	396	species	6665454	44	1	0.0
Methylococcaceae	403	family	4384317	2	0	0.0
Methylobacillus	404	genus	2971517	1	0	0.0
Methylobacterium	407	genus	7144985	15	1	0.0
Methylorubrum extorquens	408	species	8218505	37	11	0.0
Acetobacteraceae	433	family	3826783	2	0	0.0
Acetobacter	434	genus	3590557	2	0	0.0
Acetobacter aceti	435	species	3725037	4	1	0.0
Acetobacter pasteurianus	438	species	3590557	9	1	0.0
Gluconobacter oxydans	442	species	4181963	1	0	0.0
Legionella	445	genus	10525492	1	0	0.0
Legionella pneumophila	446	species	12363603	15	7	0.0
Legionella hackeliae	449	species	3570857	1	0	0.0
Legionella longbeachae	450	species	4149158	6	1	0.0
Tatlockia micdadei	451	species	9836958	1	0	0.0
Legionella spiritensis	452	species	6755735	8	3	0.0
Legionella israelensis	454	species	9344693	5	1	0.0
Legionella jordanis	456	species	3133723	4	4	0.0
Moraxellaceae	468	family	3943545	2	0	0.0
Acinetobacter baumannii	470	species	4233127	18	2	0.0
Acinetobacter calcoaceticus	471	species	8050108	4	3	0.0
Moraxella bovis	476	species	2911207	8	7	0.0
Moraxella catarrhalis	480	species	1863286	8	0	0.0
Neisseriaceae	481	family	2244925	11	0	0.0
Neisseria	482	genus	2223758	28	8	0.0
Neisseria cinerea	483	species	1832904	39	10	0.0
Neisseria flavescens	484	species	2231882	57	27	0.0
Neisseria gonorrhoeae	485	species	2216159	123	36	0.0
Neisseria lactamica	486	species	2220606	161	24	0.0
Neisseria meningitidis	487	species	2222288	247	50	0.0
Neisseria mucosa	488	species	2783943	402	285	0.0
Neisseria polysaccharea	489	species	2024930	62	13	0.0
Neisseria animalis	492	species	4477875	51	1	0.0
Neisseria canis	493	species	2569389	30	13	0.0
Neisseria elongata	495	species	2253031	747	384	0.0
Thermomicrobium	499	genus	2920744	1	0	0.0
Kingella kingae	504	species	4021433	27	13	0.0
Alcaligenaceae	506	family	4354306	7	0	0.0
Alcaligenes faecalis	511	species	32768163	50	19	0.0
Bordetella	517	genus	4536693	7	0	0.0
Bordetella bronchiseptica	518	species	5231793	60	4	0.0
Bordetella parapertussis	519	species	4836562	18	3	0.0
Bordetella pertussis	520	species	4781978	5	0	0.0
Bordetella avium	521	species	3732255	22	0	0.0
Acidiphilium	522	genus	4088912	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	11	2	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Chromobacterium	535	genus	4751080	11	0	0.0
Chromobacterium violaceum	536	species	4751080	48	4	0.0
Eikenella	538	genus	0	3	0	0.0
Eikenella corrodens	539	species	4651055	4241	3352	0.0131512
Zymomonas	541	genus	3463673	1	0	0.0
Zymomonas mobilis	542	species	3463673	5	2	0.0
Enterobacteriaceae	543	family	10341043	11	1	0.0
Citrobacter	544	genus	5276819	8	2	0.0
Citrobacter koseri	545	species	4735357	24	3	0.0
Citrobacter freundii	546	species	5164552	23	1	0.0
Enterobacter	547	genus	11028548	11	3	0.0
Klebsiella aerogenes	548	species	5435727	24	11	0.0
Pantoea agglomerans	549	species	30133336	24	5	0.0
Enterobacter cloacae	550	species	5356576	43	6	0.0
Erwinia	551	genus	4250482	3	0	0.0
Erwinia amylovora	552	species	3869718	2	0	0.0
Pantoea ananatis	553	species	4838981	14	2	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	9726078	10	3	0.0
Escherichia coli	562	species	8437634	64	10	0.0
Shimwellia blattae	563	species	4158725	18	0	0.0
Escherichia fergusonii	564	species	4643861	6	0	0.0
Atlantibacter hermannii	565	species	13352683	12	1	0.0
Hafnia alvei	569	species	4712721	6	3	0.0
Klebsiella	570	genus	12784449	8	1	0.0
Klebsiella oxytoca	571	species	6684898	75	10	0.0
Klebsiella pneumoniae	573	species	14826006	35	10	0.0
Raoultella planticola	575	species	17105658	15	3	0.0
Raoultella terrigena	577	species	6073951	10	1	0.0
Morganella	581	genus	5836016	1	0	0.0
Morganella morganii	582	species	5836016	14	5	0.0
Proteus mirabilis	584	species	3973324	14	6	0.0
Proteus vulgaris	585	species	16657186	9	0	0.0
Providencia	586	genus	4402109	1	0	0.0
Providencia rettgeri	587	species	36637538	4	0	0.0
Providencia stuartii	588	species	4402109	9	0	0.0
Salmonella enterica subsp. enterica serovar Muenchen	596	leaf	15762832	3	0	0.0
Serratia	613	genus	5012487	16	4	0.0
Serratia liquefaciens	614	species	5282719	16	3	0.0
Serratia marcescens	615	species	5201904	88	11	0.0
Serratia odorifera	618	species	5272556	9	6	0.0
Shigella boydii	621	species	4760589	2	0	0.0
Shigella dysenteriae	622	species	4520554	5	0	0.0
Shigella flexneri	623	species	7250520	3	1	0.0
Xenorhabdus nematophila	628	species	4586662	5	2	0.0
Yersinia	629	genus	6072098	7	2	0.0
Yersinia enterocolitica	630	species	6188788	4	2	0.0
Yersinia intermedia	631	species	24435507	14	0	0.0
Yersinia pestis	632	species	5818786	6	1	0.0
Yersinia pseudotuberculosis	633	species	7671089	6	1	0.0
Edwardsiella	635	genus	3906392	2	1	0.0
Edwardsiella tarda	636	species	3766483	18	0	0.0
Arsenophonus nasoniae	638	species	4987107	4	2	0.0
Vibrionaceae	641	family	5610112	3	0	0.0
Aeromonas	642	genus	5822658	15	3	0.0
Aeromonas hydrophila	644	species	4976269	49	10	0.0
Aeromonas salmonicida	645	species	7807177	26	13	0.0
Aeromonas caviae	648	species	27968422	41	2	0.0
Aeromonas media	651	species	4788430	7	4	0.0
Aeromonas schubertii	652	species	8750747	24	6	0.0
Aeromonas veronii	654	species	4551783	225	185	0.0
Vibrio	662	genus	5583206	5	0	0.0
Vibrio alginolyticus	663	species	5146637	18	4	0.0
Vibrio cholerae	666	species	5444833	38	12	0.0
Vibrio harveyi	669	species	35934227	7	0	0.0
Vibrio parahaemolyticus	670	species	5168015	15	3	0.0
Vibrio vulnificus	672	species	5071151	17	5	0.0
Grimontia hollisae	673	species	16426895	13	5	0.0
Vibrio mimicus	674	species	26461692	12	2	0.0
Vibrio cincinnatiensis	675	species	15191860	5	1	0.0
Vibrio fluvialis	676	species	47771737	24	3	0.0
Vibrio campbellii	680	species	8634154	3	0	0.0
Vibrio gazogenes	687	species	4786552	1	0	0.0
Vibrio mediterranei	689	species	11788203	7	2	0.0
Vibrio natriegens	691	species	10343839	2	0	0.0
Plesiomonas shigelloides	703	species	7376338	7	1	0.0
Pasteurellaceae	712	family	2528486	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2265772	33	4	0.0
Actinobacillus pleuropneumoniae	715	species	2303652	8	4	0.0
Actinobacillus suis	716	species	2501598	4	0	0.0
Actinobacillus equuli	718	species	2431533	2	0	0.0
Actinobacillus lignieresii	720	species	2377048	1	0	0.0
Haemophilus	724	genus	2428729	3	0	0.0
Haemophilus influenzae biotype aegyptius	725	leaf	9836568	6	0	0.0
Haemophilus haemolyticus	726	species	7646594	22	8	0.0
Haemophilus influenzae	727	species	2511163	41	11	0.0
Avibacterium paragallinarum	728	species	2425949	1	1	0.0
Haemophilus parainfluenzae	729	species	2086875	58	36	0.0
[Haemophilus] ducreyi	730	species	1698955	5	2	0.0
Histophilus somni	731	species	2138367	7	6	0.0
Aggregatibacter aphrophilus	732	species	3481722	416	191	0.0
Glaesserella parasuis	738	species	2362471	12	2	0.0
Aggregatibacter segnis	739	species	2022832	2	0	0.0
Pasteurella multocida	747	species	2875151	14	5	0.0
[Pasteurella] aerogenes	749	species	2257472	6	4	0.0
Gallibacterium anatis	750	species	2694139	2	0	0.0
Pasteurella dagmatis	754	species	2287213	4	4	0.0
Rodentibacter pneumotropicus	758	species	2439769	7	5	0.0
Avibacterium volantium	762	species	2230476	2	2	0.0
Coxiella burnetii	777	species	2072642	1	0	0.0
Rickettsia	780	genus	1252916	4	2	0.0
Rickettsia prowazekii	782	species	1111192	1	0	0.0
Orientia tsutsugamushi	784	species	2200350	4	1	0.0
Rickettsia typhi	785	species	1112275	2	0	0.0
Bartonella quintana	803	species	1584515	2	0	0.0
Bartonella elizabethae	807	species	2018538	2	1	0.0
Chlamydia trachomatis	813	species	1068120	2	2	0.0
Bacteroides	816	genus	5275069	11	4	0.0
Bacteroides fragilis	817	species	5308603	77	25	0.0
Bacteroides thetaiotaomicron	818	species	6293399	24	13	0.0
Bacteroides uniformis	820	species	4989532	41	10	0.0
Bacteroides vulgatus	821	species	5163189	24	18	0.0
Parabacteroides distasonis	823	species	10023638	55	3	0.0
Campylobacter gracilis	824	species	2281652	1178	1154	0.0
Sebaldella termitidis	826	species	4486650	1	0	0.0
Fibrobacter succinogenes	833	species	7685639	1	0	0.0
Porphyromonas	836	genus	2657841	2	0	0.0
Porphyromonas gingivalis	837	species	2736420	3423	1634	0.0223529
Prevotella	838	genus	3023914	9	1	0.0
Roseburia	841	genus	4042736	3	0	0.0
Wolinella succinogenes	844	species	2110355	1	0	0.0
Oxalobacter formigenes	847	species	2433653	14	3	0.0
Fusobacterium	848	genus	3161642	6	6	0.0
Fusobacterium nucleatum	851	species	3161193	127	29	0.0
Faecalibacterium prausnitzii	853	species	3102523	169	40	0.0
Fusobacterium varium	856	species	3346458	16	8	0.0
Fusobacterium necrophorum	859	species	4694448	37	12	0.0
Fusobacterium periodonticum	860	species	2541084	36	3	0.0
Fusobacterium ulcerans	861	species	3839419	19	0	0.0
Cardiobacteriaceae	868	family	1389350	2	0	0.0
Desulfovibrio	872	genus	3919658	3	0	0.0
Desulfocurvibacter africanus	873	species	4200534	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	42	28	0.0
Desulfovibrio vulgaris	881	species	3802302	1	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	20	6	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	24	18	0.0
Desulfococcus multivorans	897	species	8911375	16	0	0.0
Desulfomicrobium baculatum	899	species	3942657	1	0	0.0
Desulfovibrio piger	901	species	2807531	43	30	0.0
Acidaminococcus fermentans	905	species	2329769	1	0	0.0
Megasphaera	906	genus	2491645	1	0	0.0
Megasphaera elsdenii	907	species	2491645	14	1	0.0
Nitrobacter hamburgensis	912	species	5011522	1	0	0.0
Nitrosomonas europaea	915	species	2812094	1	0	0.0
Thiobacillus	919	genus	2909809	2	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	0	0.0
Starkeya novella	921	species	4765023	1	0	0.0
Thiomonas intermedia	926	species	3462095	17	10	0.0
Ehrlichia	943	genus	1369786	1	0	0.0
Ehrlichia canis	944	species	1315030	3	3	0.0
Ehrlichia chaffeensis	945	species	1174554	2	1	0.0
Wolbachia	953	genus	1231799	2	0	0.0
Bdellovibrio bacteriovorus	959	species	3592845	9	2	0.0
Bacteriovorax stolpii	960	species	7691180	4	2	0.0
Herbaspirillum	963	genus	5363540	5	0	0.0
Herbaspirillum seropedicae	964	species	5513887	50	2	0.0
Selenomonas	970	genus	3100147	2	0	0.0
Bacteroidetes	976	phylum	3686275	2	0	0.0
Cellulophaga lytica	979	species	3765936	9	0	0.0
Pedobacter heparinus	984	species	5167383	1	0	0.0
Flavobacterium columnare	996	species	3162432	35	5	0.0
Sphingobacterium mizutaii	1010	species	4653048	2	2	0.0
Weeksella virosa	1014	species	2272954	6	5	0.0
Capnocytophaga	1016	genus	2592165	18	7	0.0
Capnocytophaga gingivalis	1017	species	2838633	1551	1512	0.0
Capnocytophaga sputigena	1019	species	11962418	1862	606	0.0
Erythrobacter	1041	genus	3052398	2	0	0.0
Chromatiaceae	1046	family	3825215	3	0	0.0
Halorhodospira halochloris	1052	species	2834560	1	1	0.0
Halorhodospira halophila	1053	species	2678452	1	0	0.0
Rhodobacter	1060	genus	4425548	2	0	0.0
Rhodobacter sphaeroides	1063	species	4610091	41	16	0.0
Rhodopseudomonas	1073	genus	5494465	3	0	0.0
Rhodobacter blasticus	1075	species	3706095	11	6	0.0
Rhodopseudomonas palustris	1076	species	5494465	32	13	0.0
Blastochloris viridis	1079	species	11174693	61	6	0.0
Rhodospirillum rubrum	1085	species	4379691	2	0	0.0
Chlorobium phaeovibrioides	1094	species	1966858	11	6	0.0
Chloroflexus	1107	genus	5070807	1	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	6	4	0.0
Cyanobacteria	1117	phylum	4896702	1	0	0.0
