name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Rhizobiales	356	order	5410296	19	0	0.0
Agrobacterium tumefaciens	358	species	7273300	9	1	0.0
Bradyrhizobium	374	genus	11894480	2	0	0.0
Rhizobium	379	genus	8184003	1	0	0.0
Sinorhizobium meliloti	382	species	7082772	6	2	0.0
Rhizobium leguminosarum	384	species	9364981	2	1	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	1	1	0.0
Rhizobium phaseoli	396	species	6665454	1	0	0.0
Methylobacterium	407	genus	7144985	3	0	0.0
Acetobacteraceae	433	family	3826783	1	0	0.0
Legionella	445	genus	10525492	1	0	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Legionella longbeachae	450	species	4149158	2	0	0.0
Tatlockia micdadei	451	species	9836958	1	0	0.0
Acinetobacter calcoaceticus	471	species	8050108	1	0	0.0
Neisseria	482	genus	2223758	1	0	0.0
Neisseria cinerea	483	species	1832904	1	0	0.0
Neisseria flavescens	484	species	2231882	4	0	0.0
Neisseria gonorrhoeae	485	species	2216159	2	0	0.0
Neisseria lactamica	486	species	2220606	7	0	0.0
Neisseria mucosa	488	species	2783943	4	0	0.0
Neisseria polysaccharea	489	species	2024930	2	0	0.0
Neisseria animalis	492	species	4477875	2	0	0.0
Neisseria canis	493	species	2569389	1	0	0.0
Neisseria elongata	495	species	2253031	13	0	0.0
Alcaligenaceae	506	family	4354306	2	0	0.0
Alcaligenes faecalis	511	species	32768163	2	1	0.0
Bordetella	517	genus	4536693	1	0	0.0
Bordetella bronchiseptica	518	species	5231793	1	0	0.0
Bordetella parapertussis	519	species	4836562	2	0	0.0
Beijerinckia	532	genus	4418616	1	0	0.0
Eikenella corrodens	539	species	4651055	24	9	0.0
Zymomonas mobilis	542	species	3463673	1	0	0.0
Klebsiella aerogenes	548	species	5435727	1	0	0.0
Enterobacter cloacae	550	species	5356576	1	1	0.0
Pantoea ananatis	553	species	4838981	3	0	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	9726078	1	0	0.0
Escherichia coli	562	species	8437634	4	1	0.0
Klebsiella oxytoca	571	species	6684898	2	0	0.0
Klebsiella pneumoniae	573	species	14826006	3	1	0.0
Providencia stuartii	588	species	4402109	1	1	0.0
Serratia	613	genus	5012487	1	0	0.0
Serratia liquefaciens	614	species	5282719	1	0	0.0
Serratia marcescens	615	species	5201904	5	0	0.0
Aeromonas	642	genus	5822658	2	1	0.0
Aeromonas hydrophila	644	species	4976269	2	0	0.0
Vibrio harveyi	669	species	35934227	1	1	0.0
Vibrio vulnificus	672	species	5071151	1	1	0.0
Vibrio gazogenes	687	species	4786552	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2265772	7	3	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Haemophilus influenzae	727	species	2511163	3	1	0.0
Histophilus somni	731	species	2138367	1	0	0.0
Aggregatibacter aphrophilus	732	species	3481722	24	6	0.0
Pasteurella multocida	747	species	2875151	2	0	0.0
Rodentibacter pneumotropicus	758	species	2439769	1	1	0.0
Bacteroides	816	genus	5275069	1	0	0.0
Bacteroides fragilis	817	species	5308603	1	1	0.0
Campylobacter gracilis	824	species	2281652	50	47	0.0
Porphyromonas	836	genus	2657841	1	0	0.0
Porphyromonas gingivalis	837	species	2736420	39	17	0.0
Prevotella	838	genus	3023914	2	0	0.0
Fusobacterium	848	genus	3161642	1	1	0.0
Fusobacterium nucleatum	851	species	3161193	7	0	0.0
Faecalibacterium prausnitzii	853	species	3102523	3	2	0.0
Fusobacterium varium	856	species	3346458	2	0	0.0
Fusobacterium necrophorum	859	species	4694448	15	0	0.0
Fusobacterium periodonticum	860	species	2541084	2	0	0.0
Desulfovibrio	872	genus	3919658	1	0	0.0
Desulfocurvibacter africanus	873	species	4200534	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	3	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	3	0	0.0
Desulfuromonas	890	genus	0	1	0	0.0
Desulfobulbus	893	genus	0	1	0	0.0
Desulfococcus	896	genus	3944167	1	0	0.0
Desulfomicrobium baculatum	899	species	3942657	1	0	0.0
Desulfovibrio piger	901	species	2807531	3	2	0.0
Acidaminococcus	904	genus	2408767	1	0	0.0
Megasphaera	906	genus	2491645	1	0	0.0
Megasphaera elsdenii	907	species	2491645	1	0	0.0
Starkeya novella	921	species	4765023	1	0	0.0
Thiomonas intermedia	926	species	3462095	1	0	0.0
Bacteriovorax stolpii	960	species	7691180	1	1	0.0
Selenomonas	970	genus	3100147	1	0	0.0
Bacteroidetes	976	phylum	3686275	2	0	0.0
Cellulophaga lytica	979	species	3765936	3	0	0.0
Flavobacterium columnare	996	species	3162432	3	0	0.0
Capnocytophaga	1016	genus	2592165	3	0	0.0
Capnocytophaga gingivalis	1017	species	2838633	4	1	0.0
Capnocytophaga sputigena	1019	species	11962418	31	2	0.0
Rhodobacter sphaeroides	1063	species	4610091	1	1	0.0
Blastochloris viridis	1079	species	11174693	1	0	0.0
Synechococcus elongatus PCC 7942 = FACHB-805	1140	leaf	2742269	1	1	0.0
Oscillatoriales	1150	order	7831139	1	0	0.0
Proteobacteria	1224	phylum	6582363	13	0	0.0
Gammaproteobacteria	1236	class	8199621	14	0	0.0
Firmicutes	1239	phylum	3951907	4	0	0.0
Pediococcus acidilactici	1254	species	28786024	1	1	0.0
Micrococcaceae	1268	family	3809026	9	0	0.0
Micrococcus	1269	genus	4996790	2	0	0.0
Micrococcus luteus	1270	species	4996790	16	2	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	5	2	0.0
Kocuria rosea	1275	species	11520941	9	0	0.0
Staphylococcus epidermidis	1282	species	2601987	4	0	0.0
Staphylococcus haemolyticus	1283	species	2697861	1	0	0.0
Staphylococcus hominis	1290	species	2253412	1	1	0.0
Streptococcaceae	1300	family	2703668	4	0	0.0
Streptococcus	1301	genus	2347233	42	15	0.0
Streptococcus gordonii	1302	species	2196662	41	3	0.0
Streptococcus oralis	1303	species	1926449	6	1	0.0
Streptococcus salivarius	1304	species	2213879	4	0	0.0
Streptococcus sanguinis	1305	species	2388435	95	17	0.0
Streptococcus thermophilus	1308	species	1844731	1	1	0.0
Streptococcus mutans	1309	species	2024183	1	1	0.0
Streptococcus sobrinus	1310	species	12977382	3	0	0.0
Streptococcus agalactiae	1311	species	2111259	10	1	0.0
Streptococcus pneumoniae	1313	species	2114821	11	0	0.0
Streptococcus pyogenes	1314	species	1940888	50	0	0.0
Streptococcus parasanguinis	1318	species	2162630	1	0	0.0
Streptococcus anginosus	1328	species	2089210	17	1	0.0
Streptococcus canis	1329	species	6369596	2	0	0.0
Streptococcus dysgalactiae	1334	species	4983431	17	0	0.0
Streptococcus equinus	1335	species	11728033	2	0	0.0
Streptococcus equi	1336	species	5023339	8	0	0.0
Streptococcus intermedius	1338	species	1963517	17	1	0.0
Streptococcus porcinus	1340	species	10166034	12	3	0.0
Streptococcus vestibularis	1343	species	1950305	1	0	0.0
Enterococcus faecalis	1351	species	3027316	1	1	0.0
Enterococcus hirae	1354	species	2856440	1	1	0.0
Lactococcus raffinolactis	1366	species	4587907	2	0	0.0
Gemella	1378	genus	0	5	0	0.0
Gemella haemolysans	1379	species	1926227	1	0	0.0
Bacillales	1385	order	5092237	1	0	0.0
Bacillus	1386	genus	6141499	2	0	0.0
Bacillus amyloliquefaciens	1390	species	3989737	2	0	0.0
Bacillus anthracis	1392	species	5860829	1	1	0.0
Brevibacillus brevis	1393	species	6469936	1	1	0.0
Bacillus cereus	1396	species	6509544	2	0	0.0
Bacillus coagulans	1398	species	3312652	1	0	0.0
Paenibacillus lautus	1401	species	7354571	1	0	0.0
Bacillus licheniformis	1402	species	8445242	4	0	0.0
Paenibacillus polymyxa	1406	species	5942566	1	1	0.0
Bacillus pumilus	1408	species	3704641	1	0	0.0
Lysinibacillus sphaericus	1421	species	4817463	1	1	0.0
Bacillus subtilis	1423	species	8637394	4	0	0.0
Parageobacillus thermoglucosidasius	1426	species	3993793	4	0	0.0
Bacillus thuringiensis	1428	species	6568323	1	0	0.0
Clostridium	1485	genus	4654291	4	0	0.0
Clostridium botulinum	1491	species	4204997	8	1	0.0
Clostridium butyricum	1492	species	41927457	1	1	0.0
Clostridium cochlearium	1494	species	2435419	1	1	0.0
Clostridioides difficile	1496	species	5221519	21	2	0.0
Clostridium perfringens	1502	species	3171211	4	3	0.0
Clostridium sporogenes	1509	species	8284974	2	0	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	1	0	0.0
Clostridium beijerinckii	1520	species	6062225	1	1	0.0
Moorella thermoacetica	1525	species	2628784	1	1	0.0
Clostridium novyi	1542	species	2547720	1	1	0.0
Halobacillus halophilus	1570	species	4170008	1	0	0.0
Lactobacillus	1578	genus	3009630	1	0	0.0
Lactobacillus acidophilus	1579	species	1992569	1	0	0.0
Lactobacillus plantarum	1590	species	5152316	1	0	0.0
Lactobacillus paracasei	1597	species	3589835	4	0	0.0
Lactobacillus fermentum	1613	species	2148561	1	1	0.0
Lactobacillus salivarius	1624	species	2056170	2	0	0.0
Listeria monocytogenes	1639	species	3008233	2	0	0.0
Corynebacteriaceae	1653	family	2732186	7	0	0.0
Actinomyces	1654	genus	2811991	133	44	0.0
Actinomyces naeslundii	1655	species	3040449	95	4	0.0
Actinomyces viscosus	1656	species	3491241	103	21	0.0
Actinomyces israelii	1659	species	2572997	17	4	0.0
Schaalia odontolytica	1660	species	4792768	39	8	0.0
Trueperella pyogenes	1661	species	2272494	5	0	0.0
Arthrobacter	1663	genus	0	5	0	0.0
Bifidobacterium	1678	genus	2688194	8	0	0.0
Bifidobacterium adolescentis	1680	species	2089645	2	0	0.0
Bifidobacterium bifidum	1681	species	2209060	3	0	0.0
Bifidobacterium longum subsp. infantis	1682	subspecies	10711411	1	0	0.0
Bifidobacterium angulatum	1683	species	2021974	1	0	0.0
Bifidobacterium breve	1685	species	2317134	3	0	0.0
Bifidobacterium catenulatum	1686	species	2308286	2	0	0.0
Bifidobacterium coryneforme	1687	species	1755151	1	0	0.0
Bifidobacterium dentium	1689	species	2636018	1	0	0.0
Brevibacterium	1696	genus	0	3	0	0.0
Brevibacterium linens	1703	species	12097701	3	1	0.0
Corynebacterium stationis	1705	species	8587058	3	0	0.0
Cellulomonas	1707	genus	3971988	5	0	0.0
Cellulomonas fimi	1708	species	4266344	3	0	0.0
Cellulosimicrobium cellulans	1710	species	9019668	6	2	0.0
Corynebacterium	1716	genus	2732186	9	1	0.0
Corynebacterium pseudotuberculosis	1719	species	2347054	1	0	0.0
Corynebacterium xerosis	1725	species	5560360	3	0	0.0
Eubacterium limosum	1736	species	13313701	1	0	0.0
Propionibacterium	1743	genus	2646865	2	0	0.0
Propionibacterium freudenreichii	1744	species	2646865	2	1	0.0
Acidipropionibacterium acidipropionici	1748	species	3656170	10	0	0.0
Acidipropionibacterium jensenii	1749	species	12257369	23	1	0.0
Pseudopropionibacterium propionicum	1750	species	3449360	2689	265	0.165028
Actinobacteria	1760	class	5015669	90	16	0.0
Mycobacteriaceae	1762	family	7116636	10	0	0.0
Mycobacterium	1763	genus	7259758	4	0	0.0
Mycobacterium avium	1764	species	18898623	1	0	0.0
Mycobacterium leprae	1769	species	3268132	1	1	0.0
Mycolicibacterium phlei	1771	species	5349645	3	2	0.0
Mycolicibacterium smegmatis	1772	species	14041927	1	0	0.0
Mycobacterium simiae	1784	species	5788994	2	1	0.0
Mycolicibacter terrae	1788	species	9098503	4	1	0.0
Mycolicibacterium chitae	1792	species	10943830	2	0	0.0
Mycolicibacterium fallax	1793	species	4156821	2	0	0.0
Mycolicibacterium gadium	1794	species	5964999	2	0	0.0
Mycolicibacterium neoaurum	1795	species	5421267	1	0	0.0
Mycolicibacterium aichiense	1799	species	5925482	1	0	0.0
Amycolatopsis	1813	genus	12051167	2	0	0.0
Nocardia	1817	genus	7567967	1	0	0.0
Nocardia otitidiscaviarum	1823	species	7687583	4	2	0.0
Rhodococcus	1827	genus	6750748	4	0	0.0
Rhodococcus rhodochrous	1829	species	11178579	2	0	0.0
Rhodococcus ruber	1830	species	28280812	6	0	0.0
Rhodococcus erythropolis	1833	species	6691155	1	0	0.0
Saccharopolyspora erythraea	1836	species	8212805	1	0	0.0
Nocardioides	1839	genus	4376707	6	0	0.0
Pseudonocardia	1847	genus	7303989	2	0	0.0
Frankia	1854	genus	7497934	2	0	0.0
Geodermatophilus obscurus	1861	species	5322497	1	0	0.0
Dermatophilus	1862	genus	0	1	0	0.0
Dermatophilus congolensis	1863	species	2627820	1	0	0.0
Actinoplanes	1865	genus	8812229	2	0	0.0
Micromonospora	1873	genus	7025559	4	0	0.0
Streptomyces	1883	genus	9710281	28	4	0.0
Streptomyces actuosus	1885	species	8145579	1	0	0.0
Streptomyces albidoflavus	1886	species	21143534	4	0	0.0
Streptomyces albus	1888	species	33079680	4	0	0.0
Streptomyces ambofaciens	1889	species	8393598	1	0	0.0
Streptomyces atratus	1893	species	9641288	1	0	0.0
Kitasatospora aureofaciens	1894	species	7076402	2	0	0.0
Streptomyces clavuligerus	1901	species	24193969	15	0	0.0
Streptomyces coelicolor	1902	species	17722511	1	0	0.0
Streptomyces fradiae	1906	species	6725579	3	0	0.0
Streptomyces glaucescens	1907	species	7623774	1	0	0.0
Streptomyces globisporus	1908	species	7783599	1	0	0.0
Streptomyces hygroscopicus	1912	species	10333189	3	0	0.0
Streptomyces lincolnensis	1915	species	19832691	3	1	0.0
Streptomyces rimosus	1927	species	19019657	8	0	0.0
Streptomyces rochei	1928	species	8364802	1	1	0.0
Streptomyces tendae	1932	species	7343456	2	1	0.0
Streptomyces violaceoruber	1935	species	7916045	1	1	0.0
Streptomyces albireticuli	1940	species	8144417	1	0	0.0
Streptomyces vinaceus	1960	species	7673509	1	0	0.0
Streptosporangiaceae	2004	family	10369518	1	0	0.0
Thermomonosporaceae	2012	family	5639016	2	0	0.0
Nocardiopsis	2013	genus	6177891	1	0	0.0
Nocardiopsis dassonvillei	2014	species	6543312	3	0	0.0
Thermomonospora curvata	2020	species	5639016	1	0	0.0
Thermobifida fusca	2021	species	3642249	2	0	0.0
Thermoactinomyces vulgaris	2026	species	5233536	2	0	0.0
Curtobacterium	2034	genus	3933752	1	0	0.0
Curtobacterium flaccumfaciens	2035	species	3933752	1	0	0.0
Actinomycetales	2037	order	2376616	3	0	0.0
Aeromicrobium	2040	genus	0	1	0	0.0
Aeromicrobium erythreum	2041	species	3629239	2	0	0.0
Pimelobacter simplex	2045	species	5637360	1	0	0.0
Actinomycetaceae	2049	family	2376616	50	0	0.0
Gordonia	2053	genus	5567155	1	0	0.0
Gordonia terrae	2055	species	16723305	3	0	0.0
Tsukamurella paurometabola	2061	species	4479724	1	1	0.0
Streptomycetaceae	2062	family	9677174	27	0	0.0
Pseudonocardiaceae	2070	family	9441254	15	0	0.0
Pseudonocardia autotrophica	2074	species	7535285	1	1	0.0
Mycoplasmatales	2085	order	1430664	1	0	0.0
Mycoplasma	2093	genus	1460880	1	0	0.0
Methanobacteriales	2158	order	1865270	2	0	0.0
Methanobacteriaceae	2159	family	1989655	2	0	0.0
Methanobacterium	2160	genus	0	19	0	0.0
Methanobacterium formicicum	2162	species	4944497	4	0	0.0
Methanobrevibacter	2172	genus	2395181	28	6	0.0
Methanobrevibacter smithii	2173	species	1853160	150	13	0.0
Methanothermus	2179	genus	1243342	1	0	0.0
Methanothermus fervidus	2180	species	1243342	10	0	0.0
Methanococcaceae	2183	family	1747756	1	0	0.0
Halobacteriales	2235	order	3677006	2	0	0.0
Halobacterium	2239	genus	2619893	1	0	0.0
Halobacterium salinarum	2242	species	2619893	1	0	0.0
Haloferax	2251	genus	5912540	1	0	0.0
Thermococcales	2258	order	2048998	1	0	0.0
Thermococcus	2263	genus	1986840	1	0	0.0
Methanosphaera	2316	genus	1767403	5	0	0.0
Methanosphaera stadtmanae	2317	species	1767403	22	0	0.0
Methanopyrus kandleri	2320	species	1694969	1	0	0.0
Fervidobacterium islandicum	2423	species	2237377	1	1	0.0
Gardnerella vaginalis	2702	species	1669705	3	0	0.0
Cardiobacterium hominis	2718	species	2670755	17	15	0.0
Halomonas	2745	genus	4061825	1	0	0.0
Carnobacterium maltaromaticum	2751	species	3650416	1	1	0.0
Homo sapiens	9606	species	3272089205	105	82	0.0
Acidovorax	12916	genus	4877171	1	0	0.0
Sphingomonas	13687	genus	5564099	1	0	0.0
Sphingomonas paucimobilis	13689	species	4005505	2	1	0.0
Bifidobacterium pseudocatenulatum	28026	species	2313752	1	0	0.0
Corynebacterium flavescens	28028	species	2758653	1	0	0.0
Staphylococcus lugdunensis	28035	species	2627127	4	0	0.0
Streptococcus mitis	28037	species	2007747	3	0	0.0
Lactobacillus curvatus	28038	species	1916521	3	0	0.0
Mycolicibacterium confluentis	28047	species	5876557	3	1	0.0
Micromonosporaceae	28056	family	7309173	11	0	0.0
Rubrivivax	28067	genus	5043253	1	0	0.0
Burkholderia gladioli	28095	species	17543424	3	0	0.0
Francisella philomiragia	28110	species	2033555	1	0	0.0
Tannerella forsythia	28112	species	3383154	1	0	0.0
Bacteroides heparinolyticus	28113	species	3608975	3	0	0.0
Odoribacter splanchnicus	28118	species	4392288	1	0	0.0
Bacteroides zoogleoformans	28119	species	3361794	3	2	0.0
Prevotella intermedia	28131	species	2686803	31	8	0.0
Prevotella melaninogenica	28132	species	3168282	3	1	0.0
Prevotella oris	28135	species	3168212	2	0	0.0
Leptospira weilii	28184	species	8742832	2	0	0.0
Capnocytophaga cynodegmi	28189	species	2640475	1	1	0.0
Arcobacter	28196	genus	2367959	2	0	0.0
Arcobacter butzleri	28197	species	2287250	1	0	0.0
Arcobacter skirrowii	28200	species	1969846	2	1	0.0
Alphaproteobacteria	28211	class	3925312	15	1	0.0
Betaproteobacteria	28216	class	5609802	4	0	0.0
Deltaproteobacteria	28221	class	5142330	5	0	0.0
Geobacter	28231	genus	4227210	3	0	0.0
Cobetia marina	28258	species	4176400	1	1	0.0
Clavibacter michiganensis	28447	species	5099992	3	0	0.0
Komagataeibacter xylinus	28448	species	3905082	3	1	0.0
Neisseria subflava	28449	species	4517530	3	1	0.0
Burkholderia pseudomallei	28450	species	7728704	2	0	0.0
Streptomyces nitrosporeus	28894	species	7581562	2	1	0.0
Salmonella enterica	28901	species	11815080	1	0	0.0
Halorubrum trapanicum	29284	species	3080199	2	0	0.0
Mycolicibacter hiberniae	29314	species	4396654	2	1	0.0
Clostridium argentinense	29341	species	4803058	1	0	0.0
[Clostridium] scindens	29347	species	3658040	3	0	0.0
Gemella morbillorum	29391	species	3540381	24	2	0.0
Microlunatus	29404	genus	5683123	1	0	0.0
Microlunatus phosphovorus	29405	species	5683123	1	0	0.0
Acinetobacter haemolyticus	29430	species	50271247	2	0	0.0
Moraxella ovis	29433	species	2306095	1	1	0.0
Pelobacter acetylenicus	29542	species	3206049	1	0	0.0
Mycoplasma canis	29555	species	897443	1	0	0.0
Mycoplasma gallinaceum	29556	species	1074838	1	0	0.0
Bifidobacteriaceae	31953	family	2593741	6	0	0.0
Propionibacteriaceae	31957	family	2827829	22	1	0.0
Clavibacter michiganensis subsp. sepedonicus	31964	subspecies	3403786	1	0	0.0
Mollicutes	31969	class	1398080	1	0	0.0
Clostridiaceae	31979	family	4509975	1	0	0.0
Methylobacterium radiotolerans	31998	species	6899110	1	0	0.0
Achromobacter denitrificans	32002	species	20166270	2	0	0.0
Nitrosomonadales	32003	order	3061161	1	0	0.0
Burkholderia	32008	genus	8385645	4	2	0.0
Burkholderia gladioli pv. gladioli	32009	leaf	26034550	2	0	0.0
Campylobacter sputorum biovar sputorum	32024	leaf	1753386	2	0	0.0
Xanthomonadaceae	32033	family	18116294	2	0	0.0
Leptotrichia	32067	genus	2465610	1	0	0.0
Cutibacterium avidum	33010	species	2526138	3	0	0.0
Cutibacterium granulosum	33011	species	2175244	2	0	0.0
Clavibacter michiganensis subsp. michiganensis	33013	subspecies	3365549	1	0	0.0
Clavibacter michiganensis subsp. insidiosus	33014	subspecies	10035294	6	1	0.0
Phascolarctobacterium	33024	genus	2550003	2	0	0.0
Parvimonas micra	33033	species	4966270	63	5	0.0
Streptococcus milleri	33040	species	3747706	47	9	0.0
Sphingopyxis macrogoltabida	33050	species	16800329	3	0	0.0
Coriobacterium	33870	genus	2115681	1	0	0.0
Agromyces	33877	genus	0	1	0	0.0
Microbacterium	33882	genus	3982034	5	0	0.0
Rathayibacter	33886	genus	4359758	4	0	0.0
Rathayibacter rathayi	33887	species	3103889	2	2	0.0
Amycolatopsis mediterranei	33910	species	13655759	4	0	0.0
Anoxybacillus flavithermus	33934	species	2846746	1	0	0.0
Aeribacillus pallidus	33936	species	4089457	1	0	0.0
Lactobacillus kefiri	33962	species	2489034	1	1	0.0
Leuconostoc pseudomesenteroides	33968	species	2316085	1	1	0.0
Melissococcus plutonius	33970	species	2059558	1	0	0.0
Paracoccus aminophilus	34003	species	4873118	1	0	0.0
Leptothrix cholodnii	34029	species	4909403	1	0	0.0
Moraxella cuniculi	34061	species	2202865	1	1	0.0
Variovorax paradoxus	34073	species	6817856	1	0	0.0
Riemerella anatipestifer	34085	species	2642718	1	0	0.0
Streptobacillus moniliformis	34105	species	1673280	5	0	0.0
Geobacter sulfurreducens	35554	species	3764200	2	0	0.0
Rhodovulum sulfidophilum	35806	species	4347929	2	0	0.0
Bordetella holmesii	35814	species	3698615	1	1	0.0
Clostridium saccharoperbutylacetonicum	36745	species	6666445	2	0	0.0
Microbacterium aurum	36805	species	3424892	2	1	0.0
Mycobacteroides abscessus	36809	species	6441676	2	2	0.0
Streptomyces subrutilus	36818	species	7604974	2	1	0.0
Gordonia rubripertincta	36822	species	5332073	1	0	0.0
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	36870	leaf	703004	1	1	0.0
Nocardia brasiliensis	37326	species	9436348	1	1	0.0
Nocardia nova	37330	species	8348532	1	0	0.0
Nocardia seriolae	37332	species	16426251	7	1	0.0
Rhodococcus opacus	37919	species	8834939	1	0	0.0
Sinomonas atrocyanea	37927	species	4492204	1	0	0.0
Arthrobacter crystallopoietes	37928	species	5032705	2	1	0.0
Glutamicibacter nicotianae	37929	species	3797724	2	0	0.0
Corynebacterium jeikeium	38289	species	2476822	2	0	0.0
Streptomyces pristinaespiralis	38300	species	8532592	2	1	0.0
Rhodococcus coprophilus	38310	species	4579834	2	2	0.0
Shewanella algae	38313	species	20016680	2	0	0.0
Methanococcus maripaludis	39152	species	1760275	1	0	0.0
Mesorhizobium ciceri	39645	species	6785241	2	0	0.0
Mycolicibacterium poriferae	39694	species	5929171	2	0	0.0
Mycolicibacterium tokaiense	39695	species	6328149	1	0	0.0
Veillonella atypica	39777	species	2071952	1	1	0.0
Dialister pneumosintes	39950	species	1274073	3	0	0.0
Erythrobacter litoralis	39960	species	3052398	2	1	0.0
Streptococcus equi subsp. zooepidemicus	40041	subspecies	19334008	37	1	0.0
Acinetobacter junii	40215	species	10058789	3	0	0.0
Streptomyces nodosus	40318	species	7772587	1	0	0.0
Stenotrophomonas	40323	genus	4684682	2	0	0.0
Stenotrophomonas maltophilia	40324	species	4684682	3	0	0.0
Mammalia	40674	class	0	1	0	0.0
Brevundimonas	41275	genus	3445263	1	0	0.0
Sphingomonadaceae	41297	family	4220148	1	0	0.0
Burkholderia plantarii	41899	species	15977589	2	0	0.0
Actinosynnema pretiosum	42197	species	8340266	6	2	0.0
Streptomyces sampsonii	42239	species	7070328	2	0	0.0
Nitrospira moscoviensis	42253	species	4589485	2	1	0.0
Rubrobacter radiotolerans	42256	species	3267233	1	0	0.0
Corynebacterium argentoratense	42817	species	2031902	1	0	0.0
Mycobacterium branderi	43348	species	5979623	2	0	0.0
Shewanella benthica	43661	species	4353505	1	0	0.0
Brachybacterium	43668	genus	3614992	6	0	0.0
Rothia mucilaginosa	43675	species	2264603	3	0	0.0
Corynebacterium matruchotii	43768	species	2878842	280	274	0.0
Corynebacterium striatum	43770	species	8823163	2	0	0.0
Corynebacterium urealyticum	43771	species	2342642	2	0	0.0
Enterococcus cecorum	44008	species	2421598	1	1	0.0
Mycobacterium conspicuum	44010	species	6237139	1	0	0.0
Thauera aromatica K172	44139	leaf	3711792	2	2	0.0
Paenibacillus durus	44251	species	5575484	1	0	0.0
Pasteurella multocida subsp. multocida	44283	subspecies	7146227	4	0	0.0
Nitrosomonas ureae	44577	species	3307820	1	1	0.0
Desulfovibrio fairfieldensis	44742	species	3699310	2	0	0.0
Capnocytophaga haemolytica	45243	species	5376983	2	0	0.0
Streptomyces griseoviridis	45398	species	8963414	2	1	0.0
Streptococcus cristatus	45634	species	2071225	17	1	0.0
Halobacillus litoralis	45668	species	4280777	1	1	0.0
Staphylococcus chromogenes	46126	species	9666970	2	0	0.0
Clostridium chauvoei	46867	species	2887451	3	1	0.0
Hydrogenophaga pseudoflava	47421	species	4905973	1	0	0.0
Lautropia mirabilis	47671	species	3172010	34	32	0.0
Bacteroides caccae	47678	species	4570803	1	1	0.0
Streptomyces olivaceus	47716	species	8180260	3	2	0.0
Streptomyces lydicus	47763	species	34877721	7	1	0.0
Micromonospora aurantiaca	47850	species	7025559	3	0	0.0
