name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	97	82	0.0
Azorhizobium	6	genus	5369772	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	3	0	0.0
Buchnera aphidicola	9	species	602805	3	1	0.0
Cellulomonas gilvus	11	species	3526441	13	0	0.0
Phenylobacterium	20	genus	4379231	1	0	0.0
Shewanella	22	genus	5140018	10	1	0.0
Shewanella putrefaciens	24	species	4749735	1	1	0.0
Myxococcales	29	order	9638245	129	0	0.0
Myxococcaceae	31	family	9636120	7	0	0.0
Myxococcus	32	genus	9487953	8	0	0.0
Myxococcus xanthus	34	species	9139763	36	7	0.0
Myxococcus macrosporus	35	species	8973512	17	5	0.0
Archangiaceae	39	family	10085598	8	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	30	10	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	35	22	0.0
Polyangiaceae	49	family	13907952	5	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	25	10	0.0
Sorangium cellulosum	56	species	13907952	96	43	0.0
Vitreoscilla	59	genus	0	6	0	0.0
Vitreoscilla filiformis	63	species	3787551	21	5	0.0
Lysobacter	68	genus	0	8	0	0.0
Lysobacter enzymogenes	69	species	12227539	43	20	0.0
Simonsiella muelleri	72	species	2469862	7	0	0.0
Caulobacter	75	genus	4238499	6	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Leptothrix	88	genus	4909403	7	0	0.0
Stella	93	genus	0	1	0	0.0
Stella humosa	94	species	5832650	24	7	0.0
Ancylobacter	99	genus	0	1	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	17	0	0.0
Gemmata	113	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	32	11	0.0
Planctomyces	118	genus	0	1	0	0.0
Gimesia maris	122	species	15634937	10	0	0.0
Pirellula	123	genus	6196199	1	0	0.0
Planctomycetaceae	126	family	5733343	2	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Methylocystis parvus	134	species	4529043	5	3	0.0
Spirochaetales	136	order	1876294	31	0	0.0
Spirochaetaceae	137	family	2749897	16	0	0.0
Borrelia turicatae	142	species	1165365	1	0	0.0
Spirochaeta	146	genus	2772907	2	0	0.0
Spirochaeta thermophila	154	species	2516433	4	0	0.0
Treponema	157	genus	2490077	16	4	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	0	0.0
Treponema pallidum	160	species	1139017	1	0	0.0
Treponema phagedenis	162	species	17151030	63	8	0.0
Leptospiraceae	170	family	5274184	3	0	0.0
Leptospira	171	genus	5319704	4	0	0.0
Leptospira interrogans	173	species	6128534	2	2	0.0
Leptospirillum	179	genus	2432093	1	0	0.0
Azospirillum	191	genus	7223069	16	0	0.0
Azospirillum brasilense	192	species	50779208	84	13	0.0
Campylobacter	194	genus	2403822	14	4	0.0
Campylobacter coli	195	species	1776238	6	0	0.0
Campylobacter fetus	196	species	2065164	4	1	0.0
Campylobacter jejuni	197	species	3124996	7	1	0.0
Campylobacter hyointestinalis	198	species	1755214	5	0	0.0
Campylobacter concisus	199	species	2099413	38	11	0.0
Campylobacter curvus	200	species	1971270	28	0	0.0
Campylobacter lari	201	species	1565468	2	0	0.0
Campylobacter showae	204	species	2160580	508	453	0.0
Campylobacter sputorum	206	species	1746988	6	0	0.0
Helicobacter	209	genus	1715890	3	0	0.0
Helicobacter pylori	210	species	1700965	6	1	0.0
Helicobacter cinaedi	213	species	2170766	4	2	0.0
Helicobacter mustelae	217	species	1578097	4	0	0.0
Achromobacter	222	genus	7359146	25	0	0.0
Alteromonas	226	genus	4609878	1	0	0.0
Brucella	234	genus	4039663	5	4	0.0
Elizabethkingia meningoseptica	238	species	15625789	2	2	0.0
Chryseobacterium balustinum	246	species	4974086	1	1	0.0
Chryseobacterium gleum	250	species	9292597	5	3	0.0
Chryseobacterium indologenes	253	species	35240523	12	0	0.0
Chryseobacterium indoltheticum	254	species	8445673	5	3	0.0
Sphingobacterium thalpophilum	259	species	5962893	2	1	0.0
Francisella tularensis	263	species	3018743	2	0	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	3	1	0.0
Paracoccus	265	genus	5054656	6	0	0.0
Paracoccus denitrificans	266	species	5236194	9	1	0.0
Thermus	270	genus	2279019	6	1	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	24	4	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Xanthobacter	279	genus	5625098	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas	283	genus	5461687	6	0	0.0
Comamonas testosteroni	285	species	5856025	22	4	0.0
Pseudomonas	286	genus	9017316	151	23	0.0
Pseudomonas aeruginosa	287	species	6798896	109	16	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13565292	30	7	0.0
Brevundimonas diminuta	293	species	3551819	13	4	0.0
Pseudomonas fluorescens	294	species	6604895	85	16	0.0
Pseudomonas fragi	296	species	10253943	7	1	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	6	3	0.0
Pseudomonas mendocina	300	species	5293211	28	7	0.0
Pseudomonas oleovorans	301	species	4686340	14	2	0.0
Pseudomonas putida	303	species	6160317	67	17	0.0
Ralstonia solanacearum	305	species	5757294	78	11	0.0
Pseudomonas stutzeri	316	species	4548207	67	10	0.0
Pseudomonas syringae	317	species	8747300	12	1	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	4	0	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	8	3	0.0
Ralstonia pickettii	329	species	5505543	19	2	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	7	0	0.0
Burkholderia glumae	337	species	6878727	21	4	0.0
Xanthomonas	338	genus	23419814	19	3	0.0
Xanthomonas campestris	339	species	7099366	10	5	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	5	0	0.0
Xanthomonas translucens	343	species	11701367	11	0	0.0
Xanthomonas citri	346	species	27676482	13	1	0.0
Xanthomonas oryzae	347	species	63225372	11	4	0.0
Azotobacter	352	genus	5311796	3	0	0.0
Azotobacter chroococcum	353	species	5192286	11	2	0.0
Azotobacter vinelandii	354	species	5351632	6	0	0.0
Rhizobiales	356	order	5410296	250	0	0.0
Agrobacterium	357	genus	6422834	5	0	0.0
Agrobacterium tumefaciens	358	species	7273300	54	9	0.0
Agrobacterium rhizogenes	359	species	5482241	9	5	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium	374	genus	11894480	18	3	0.0
Bradyrhizobium japonicum	375	species	9207384	13	2	0.0
Bradyrhizobium sp.	376	species	7547693	4	1	0.0
Rhizobium	379	genus	8184003	27	3	0.0
Sinorhizobium fredii	380	species	6924988	7	1	0.0
Mesorhizobium loti	381	species	7481739	2	0	0.0
Sinorhizobium meliloti	382	species	7082772	29	9	0.0
Rhizobium leguminosarum	384	species	9364981	26	8	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	19	2	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	1	0	0.0
Rhizobium phaseoli	396	species	6665454	15	0	0.0
Neorhizobium galegae	399	species	6434105	2	0	0.0
Methylococcaceae	403	family	4384317	5	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium	407	genus	7144985	20	0	0.0
Methylorubrum extorquens	408	species	8218505	26	7	0.0
Methylococcus	413	genus	3304561	1	0	0.0
Methylomonas	416	genus	5051681	2	0	0.0
Methylosinus	425	genus	5183433	2	0	0.0
Acetobacteraceae	433	family	3826783	19	0	0.0
Acetobacter	434	genus	3590557	4	0	0.0
Acetobacter aceti	435	species	3725037	1	0	0.0
Acetobacter pasteurianus	438	species	3590557	7	1	0.0
Gluconobacter	441	genus	4181963	1	0	0.0
Gluconobacter oxydans	442	species	4181963	4	0	0.0
Legionellaceae	444	family	10525492	3	0	0.0
Legionella pneumophila	446	species	12363603	3	1	0.0
Legionella hackeliae	449	species	3570857	3	1	0.0
Legionella longbeachae	450	species	4149158	2	0	0.0
Legionella spiritensis	452	species	6755735	2	0	0.0
Legionella israelensis	454	species	9344693	6	3	0.0
