name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	25	21	0.0
Azorhizobium caulinodans	7	species	5369772	7	0	0.0
Buchnera aphidicola	9	species	602805	12	4	0.0
Cellulomonas gilvus	11	species	3526441	4	0	0.0
Pelobacter	18	genus	3953506	3	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Phenylobacterium	20	genus	4379231	2	0	0.0
Shewanella	22	genus	5140018	15	4	0.0
Shewanella putrefaciens	24	species	4749735	39	2	0.0
Myxococcales	29	order	9638245	49	0	0.0
Myxococcaceae	31	family	9636120	10	0	0.0
Myxococcus	32	genus	9487953	12	0	0.0
Myxococcus xanthus	34	species	9139763	338	62	0.0
Myxococcus macrosporus	35	species	8973512	185	52	0.0
Archangiaceae	39	family	10085598	15	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	2	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	212	132	0.0
Melittangium	44	genus	9910441	1	0	0.0
Archangium gephyra	48	species	12489432	249	158	0.0
Polyangiaceae	49	family	13907952	3	0	0.0
Chondromyces crocatus	52	species	11388132	113	80	0.0
Sorangium cellulosum	56	species	13907952	674	332	0.0
Vitreoscilla filiformis	63	species	3787551	60	36	0.0
Lysobacter	68	genus	0	15	0	0.0
Lysobacter enzymogenes	69	species	12227539	217	123	0.0
Caulobacter	75	genus	4238499	10	0	0.0
Hyphomicrobium	81	genus	3700497	6	0	0.0
Hyphomonas	85	genus	3705021	2	0	0.0
Leptothrix	88	genus	4909403	5	0	0.0
Stella	93	genus	0	1	0	0.0
Stella humosa	94	species	5832650	147	83	0.0
Ancylobacter	99	genus	0	4	0	0.0
Cyclobacterium marinum	104	species	6221273	3	0	0.0
Runella	105	genus	0	1	0	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	5733343	7	0	0.0
Gemmata	113	genus	0	5	0	0.0
Gemmata obscuriglobus	114	species	17998094	184	108	0.0
Planctomyces	118	genus	0	5	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Gimesia maris	122	species	15634937	48	14	0.0
Planctomycetaceae	126	family	5733343	4	0	0.0
Isosphaera pallida	128	species	5529304	1	0	0.0
Methylocystis	133	genus	0	4	0	0.0
Methylocystis parvus	134	species	4529043	45	30	0.0
Spirochaetales	136	order	1876294	14	0	0.0
Spirochaetaceae	137	family	2749897	6	0	0.0
Borrelia	138	genus	1176628	2	0	0.0
Borreliella burgdorferi	139	species	1329613	8	2	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Borrelia turicatae	142	species	1165365	5	1	0.0
Borrelia anserina	143	species	1042690	1	0	0.0
Spirochaeta	146	genus	2772907	3	0	0.0
Treponema	157	genus	2490077	7	2	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	73	4	0.0
Treponema pallidum	160	species	1139017	1	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	12	0	0.0
Treponema phagedenis	162	species	17151030	593	99	0.0
Leptospiraceae	170	family	5274184	2	0	0.0
Leptospira	171	genus	5319704	17	0	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Leptospira interrogans	173	species	6128534	48	28	0.0
Leptospira borgpetersenii	174	species	4736323	5	0	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	3	0	0.0
Azospirillum	191	genus	7223069	28	0	0.0
Azospirillum brasilense	192	species	50779208	778	182	0.0
Azospirillum lipoferum	193	species	7223069	6	0	0.0
Campylobacter	194	genus	2403822	10	4	0.0
Campylobacter coli	195	species	1776238	61	12	0.0
Campylobacter fetus	196	species	2065164	28	22	0.0
Campylobacter jejuni	197	species	3124996	99	26	0.0
Campylobacter hyointestinalis	198	species	1755214	37	0	0.0
Campylobacter concisus	199	species	2099413	236	156	0.0
Campylobacter curvus	200	species	1971270	144	0	0.0
Campylobacter lari	201	species	1565468	64	14	0.0
Campylobacter showae	204	species	2160580	5150	5078	0.0
Campylobacter sputorum	206	species	1746988	16	10	0.0
Helicobacter	209	genus	1715890	3	1	0.0
Helicobacter pylori	210	species	1700965	134	55	0.0
Helicobacter acinonychis	212	species	1557588	2	0	0.0
Helicobacter cinaedi	213	species	2170766	36	14	0.0
Helicobacter mustelae	217	species	1578097	32	0	0.0
Achromobacter	222	genus	7359146	32	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	4	2	0.0
Brucella	234	genus	4039663	54	36	0.0
Brucella abortus	235	species	3283421	3	0	0.0
Flavobacterium	237	genus	3461015	9	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	84	21	0.0
Chryseobacterium balustinum	246	species	4974086	39	27	0.0
Empedobacter brevis	247	species	7431270	45	11	0.0
Chryseobacterium gleum	250	species	9292597	59	30	0.0
Chryseobacterium indologenes	253	species	35240523	128	25	0.0
Chryseobacterium indoltheticum	254	species	8445673	67	35	0.0
Sphingobacterium thalpophilum	259	species	5962893	25	15	0.0
Francisella	262	genus	3767258	1	1	0.0
Francisella tularensis	263	species	3018743	22	10	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	7	0	0.0
Paracoccus	265	genus	5054656	22	0	0.0
Paracoccus denitrificans	266	species	5236194	90	0	0.0
Thermus	270	genus	2279019	10	1	0.0
Thermus thermophilus	274	species	2214494	254	52	0.0
Meiothermus ruber	277	species	3097457	2	0	0.0
Xanthobacter	279	genus	5625098	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas	283	genus	5461687	6	0	0.0
Comamonas testosteroni	285	species	5856025	55	19	0.0
Pseudomonas	286	genus	9017316	405	133	0.0
Pseudomonas aeruginosa	287	species	6798896	762	114	0.0
Pseudoalteromonas atlantica	288	species	5187005	16	3	0.0
Burkholderia cepacia	292	species	13565292	303	50	0.0
Brevundimonas diminuta	293	species	3551819	55	36	0.0
Pseudomonas fluorescens	294	species	6604895	507	146	0.0
Pseudomonas fragi	296	species	10253943	48	12	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	25	14	0.0
Pseudomonas mendocina	300	species	5293211	170	61	0.0
Pseudomonas oleovorans	301	species	4686340	71	10	0.0
Pseudomonas putida	303	species	6160317	518	145	0.0
Ralstonia solanacearum	305	species	5757294	687	154	0.0
Pseudomonas stutzeri	316	species	4548207	476	131	0.0
Pseudomonas syringae	317	species	8747300	133	48	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	12	3	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	30	4	0.0
Ralstonia pickettii	329	species	5505543	108	32	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	16	5	0.0
Burkholderia glumae	337	species	6878727	122	9	0.0
Xanthomonas	338	genus	23419814	45	6	0.0
Xanthomonas campestris	339	species	7099366	40	17	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	13	0	0.0
Xanthomonas translucens	343	species	11701367	26	0	0.0
Xanthomonas citri	346	species	27676482	123	33	0.0
Xanthomonas oryzae	347	species	63225372	118	48	0.0
Azotobacter	352	genus	5311796	3	0	0.0
Azotobacter chroococcum	353	species	5192286	90	26	0.0
Azotobacter vinelandii	354	species	5351632	15	0	0.0
Rhizobiales	356	order	5410296	183	0	0.0
Agrobacterium	357	genus	6422834	26	0	0.0
Agrobacterium tumefaciens	358	species	7273300	459	56	0.0
Agrobacterium rhizogenes	359	species	5482241	42	18	0.0
Agrobacterium vitis	373	species	6320946	3	0	0.0
Bradyrhizobium	374	genus	11894480	100	23	0.0
Bradyrhizobium japonicum	375	species	9207384	143	21	0.0
Bradyrhizobium sp.	376	species	7547693	58	25	0.0
Rhizobium	379	genus	8184003	136	28	0.0
Sinorhizobium fredii	380	species	6924988	74	10	0.0
Mesorhizobium loti	381	species	7481739	2	0	0.0
Sinorhizobium meliloti	382	species	7082772	247	99	0.0
Rhizobium leguminosarum	384	species	9364981	273	80	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	158	33	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	76	34	0.0
Rhizobium phaseoli	396	species	6665454	148	17	0.0
Neorhizobium galegae	399	species	6434105	5	0	0.0
Methylococcaceae	403	family	4384317	3	0	0.0
Methylobacillus	404	genus	2971517	1	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium	407	genus	7144985	40	2	0.0
Methylorubrum extorquens	408	species	8218505	176	34	0.0
Methylomonas	416	genus	5051681	2	0	0.0
Methylomonas methanica	421	species	5051681	1	0	0.0
Methylosinus	425	genus	5183433	2	0	0.0
Methylosinus trichosporium	426	species	5183433	1	0	0.0
Acetobacteraceae	433	family	3826783	15	0	0.0
Acetobacter	434	genus	3590557	8	0	0.0
Acetobacter aceti	435	species	3725037	22	16	0.0
Acetobacter pasteurianus	438	species	3590557	25	8	0.0
Gluconobacter	441	genus	4181963	1	0	0.0
Gluconobacter oxydans	442	species	4181963	20	3	0.0
Legionella	445	genus	10525492	5	0	0.0
Legionella pneumophila	446	species	12363603	44	25	0.0
Legionella hackeliae	449	species	3570857	7	6	0.0
Legionella longbeachae	450	species	4149158	66	11	0.0
Tatlockia micdadei	451	species	9836958	35	10	0.0
Legionella spiritensis	452	species	6755735	40	3	0.0
Legionella israelensis	454	species	9344693	45	15	0.0
Legionella jordanis	456	species	3133723	12	9	0.0
Tatlockia	465	genus	0	1	0	0.0
Moraxellaceae	468	family	3943545	3	0	0.0
Acinetobacter	469	genus	4126830	13	2	0.0
Acinetobacter baumannii	470	species	4233127	99	21	0.0
Acinetobacter calcoaceticus	471	species	8050108	36	19	0.0
Moraxella	475	genus	1863286	2	0	0.0
Moraxella bovis	476	species	2911207	7	6	0.0
Moraxella catarrhalis	480	species	1863286	50	17	0.0
Neisseriaceae	481	family	2244925	13	0	0.0
Neisseria	482	genus	2223758	23	6	0.0
Neisseria cinerea	483	species	1832904	34	19	0.0
Neisseria flavescens	484	species	2231882	65	28	0.0
Neisseria gonorrhoeae	485	species	2216159	93	30	0.0
Neisseria lactamica	486	species	2220606	128	13	0.0
Neisseria meningitidis	487	species	2222288	215	57	0.0
Neisseria mucosa	488	species	2783943	166	119	0.0
Neisseria polysaccharea	489	species	2024930	27	4	0.0
Neisseria animalis	492	species	4477875	76	7	0.0
Neisseria canis	493	species	2569389	33	15	0.0
Neisseria elongata	495	species	2253031	490	286	0.0
Psychrobacter	497	genus	2875899	4	1	0.0
Thermomicrobium	499	genus	2920744	3	0	0.0
Kingella kingae	504	species	4021433	42	24	0.0
Alcaligenaceae	506	family	4354306	23	0	0.0
Alcaligenes	507	genus	0	2	0	0.0
Alcaligenes faecalis	511	species	32768163	175	34	0.0
Bordetella	517	genus	4536693	22	0	0.0
Bordetella bronchiseptica	518	species	5231793	236	23	0.0
Bordetella parapertussis	519	species	4836562	68	4	0.0
Bordetella pertussis	520	species	4781978	16	1	0.0
Bordetella avium	521	species	3732255	64	6	0.0
Acidiphilium	522	genus	4088912	3	0	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	59	18	0.0
Beijerinckia	532	genus	4418616	1	0	0.0
Beijerinckia indica	533	species	4418616	4	0	0.0
Chromobacterium	535	genus	4751080	42	0	0.0
Chromobacterium violaceum	536	species	4751080	153	7	0.0
Eikenella	538	genus	0	2	0	0.0
Eikenella corrodens	539	species	4651055	1031	806	0.0
